group,tier,price,cca,name
"24F","Standard",114.74,585,"Group 24F Lead Acid 12 Volt 585 CCA Auto/Truck Battery"
"24F","Better",154.76,600,"Group 24F Lead Acid 12 Volt 600 CCA Auto/Truck Battery"
"24F","Best",224.84,710,"Group 24F AGM 12 Volt 710 CCA Auto/Truck Battery"
"35","Standard",114.74,490,"Group 35 Lead Acid 12 Volt 490 CCA Auto/Truck Battery"
"35","Better",154.76,525,"Group 35 Lead Acid 12 Volt 525 CCA Auto/Truck Battery"
"35","Best",224.84,650,"Group 35 AGM 12 Volt 650 CCA Auto/Truck Battery"
"47","Better",154.76,550,"Group H5 / LN2 / 47 Lead Acid 12 Volt 550 CCA Auto/Truck Battery"
"47","Best",224.84,680,"Group H5 / LN2 / 47 AGM 12 Volt 680 CCA Auto/Truck Battery"
"48","Standard",114.74,615,"Group H6 / LN3 / 48 Lead Acid 12 Volt 615 CCA Auto/Truck Battery"
"48","Better",154.76,660,"Group H6 / LN3 / 48 Lead Acid 12 Volt 660 CCA Auto/Truck Battery"
"48","Best",224.84,760,"Group 48 AGM 12 Volt 760 CCA Auto/Truck Battery"
"49","Best",224.84,900,"Group H8 / LN5 / 49 AGM 12 Volt 900 CCA Auto/Truck Battery"
"65","Standard",114.74,650,"Group 65 Lead Acid 12 Volt 650 CCA Auto/Truck Battery"
"65","Better",154.76,750,"Group 65 Lead Acid 12 Volt 750 CCA Auto/Truck Battery"
"65","Best",234.84,750,"Group 65 AGM 12 Volt 750 CCA Auto/Truck Battery"
